0,Honda Civic 1995 1,Honda,Japan,Civic,1995,1.6,125,106,Gasoline,28,36,Inline-4,Manual,5,FWD,4.25,4.25,1420,1036,11.1,0,5,11.9,Milano Red,Sedan
1,Honda Civic 1995 2,Honda,Japan,Civic,1995,1.6,125,106,Gasoline,28,36,Inline-4,Manual,5,FWD,4.25,4.25,1420,1036,11.1,0,5,11.9,Milano Red,Sedan
2,Honda Civic 1995 3,Honda,Japan,Civic,1995,1.6,125,106,Gasoline,28,36,Inline-4,Manual,5,FWD,4.25,4.25,1420,1036,11.1,0,5,11.9,Milano Red,Sedan
3,Honda Civic 1995 4,Honda,Japan,Civic,1995,1.6,125,106,Gasoline,28,36,Inline-4,Manual,5,FWD,4.25,4.25,1420,1036,11.1,0,5,11.9,Milano Red,Sedan
4,Honda Civic 1995,Honda,Japan,Civic,1995,1.6,125,106,Gasoline,28,36,Inline-4,Manual,5,FWD,4.25,4.25,1420,1036,11.1,0,5,11.9,Milano Red,Sedan
5,Honda City,Honda,Japan,Honda,1995,1.6,125,106,Gasoline,28.0,36.0,Inline-4,Manual,5,FWD,4.25,4.25,1420.0,1036.0,11.1,0.0,5,11.9,Milano Red,Sedan
6,Honda Civic 1995,Honda,Japan,Civic,1995,1.6,125,106,Gasoline,28,36,Inline-4,Manual,5,FWD,4.25,4.25,1420,1036,11.1,0,5,11.9,Milano Red,Sedan
7,Honda Civic 1995,Honda,Japan,Civic,1995,1.6,125,106,Gasoline,28,36,Inline-4,Manual,5,FWD,4.25,4.25,1420,1036,11.1,0,5,11.9,Milano Red,Sedan
8,Honda Civic 1995,Honda,Japan,Civic,1995,1.6,125,106,Gasoline,28,36,Inline-4,Manual,5,FWD,4.25,4.25,1420,1036,11.1,0,5,11.9,Milano Red,Sedan
9,Honda Civic 1995,Honda,Japan,Civic,1995,1.6,125,106,Gasoline,28,36,Inline-4,Manual,5,FWD,4.25,4.25,1420,1036,11.1,0,5,11.9,Milano Red,Sedan
10,Honda Civic 1995,Honda,Japan,Honda,1995,1.6,125,106,Gasoline,28.0,36.0,Inline-4,Manual,5,FWD,4.25,4.25,1420.0,1036.0,11.1,0.0,5,11.9,Milano Red,Sedan
